University,CC,Values
UCR,Golden West College,5
UCR,Palomar College,7
UCR,Santa Rosa Junior College,7
UCR,Berkeley City College,6
UCR,Los Medanos College,7
UCR,Mount San Antonio College,7
UCR,Palo Verde College,0
UCR,Rio Hondo College,5
UCR,Saddleback College,6
UCR,Santiago Canyon College,6
UCR,West Hills College Coalinga,2
UCR,Canada College,7
UCR,Chaffey College,6
UCR,Crafton Hills College,7
UCR,Cypress College,5
UCR,Gavilan College,6
UCR,Napa Valley College,3
UCR,Orange Coast College,6
UCR,Laney College,7
UCR,Riverside City College,7
UCR,West Valley College,6
UCR,Lassen Community College,1
UCR,College of the Redwoods,3
UCR,Bakersfield College,4
UCR,Los Angeles Pierce College,7
UCR,Oxnard College,2
UCR,Yuba College,7
UCR,West Los Angeles College,7
UCR,Santa Barbara City College,7
UCR,Sierra College,7
UCR,Solano Community College,5
UCR,Ventura College,6
UCR,Chabot College,6
UCR,Citrus College,6
UCR,Cuyamaca College,6
UCR,Mendocino College,4
UCR,San Diego Mesa College,6
UCR,College of the Siskiyous,5
UCR,El Camino College,6
UCR,Cerritos College,7
UCR,Coastline Community College,2
UCR,Grossmont College,7
UCR,Imperial Valley College,6
UCR,MiraCosta College,7
UCR,San Joaquin Delta College,5
UCR,Allan Hancock College,6
UCR,College of Alameda,4
UCR,Copper Mountain College,6
UCR,De Anza College,7
UCR,Diablo Valley College,7
UCR,East Los Angeles College,4
UCR,Taft College,3
UCR,Antelope Valley College,6
UCR,Feather River College,1
UCR,Hartnell College,4
UCR,Irvine Valley College,6
UCR,Porterville College,2
UCR,Sacramento City College,7
UCR,Skyline College,7
UCR,Los Angeles Southwest College,5
UCR,San Bernardino Valley College,6
UCR,Monterey Peninsula College,6
UCR,Fullerton College,6
UCR,Long Beach City College,5
UCR,San Jose City College,6
UCR,Santa Monica College,7
UCR,Southwestern College,6
UCR,Moorpark College,5
UCR,College of the Canyons,7
UCR,Cosumnes River College,7
UCR,Folsom Lake College,7
UCR,West Hills College Lemoore,3
UCR,Woodland Community College,2
UCR,Norco College,7
UCR,Moreno Valley College,7
UCR,Clovis Community College,6
UCR,Compton College,3
